  70  KM3  0.1080
  70  KM2  0.0552
  70 L3M5  0.7246
  70 L2M4  0.8161
  70 L1M3  0.4262
  70 L2N4  0.1542
  70 L3M1  0.0359
  71  KL3  0.5032
  71  KL2  0.2867
  71  KM3  0.1080
  71  KM2  0.0555
  71 L3M5  0.7221
  71 L2M4  0.8180
  71 L1M3  0.4216
  71 L2N4  0.1563
  71 L3M1  0.0365
  72  KL3  0.5024
  72  KL2  0.2871
  72  KM3  0.1080
  72  KM2  0.0558
  72 L3M5  0.7204
  72 L2M4  0.8098
  72 L1M3  0.4174
  72 L2N4  0.1566
  72 L3M1  0.0366
  73  KL3  0.5011
  73  KL2  0.2874
  73  KM3  0.1080
  73  KM2  0.0562
  73 L3M5  0.7175
  73 L2M4  0.8087
  73 L1M3  0.4123
  73 L2N4  0.1582
  73 L3M1  0.0370
  74  KL3  0.4998
  74  KL2  0.2877
  74  KM3  0.1080
  74  KM2  0.0565
  74 L3M5  0.7139
  74 L2M4  0.8048
  74 L1M3  0.4078
  74 L2N4  0.1594
  74 L3M1  0.0373
  75  KL3  0.4976
  75  KL2  0.2872
  75  KM3  0.1080
  75  KM2  0.0567
  75 L3M5  0.7120
  75 L2M4  0.8019
  75 L1M3  0.4033
  75 L2N4  0.1608
  75 L3M1  0.0377
  76  KL3  0.4967
  76  KL2  0.2876
  76  KM3  0.1090
  76  KM2  0.0559
  76 L3M5  0.7086
  76 L2M4  0.7983
  76 L1M3  0.3980
  76 L2N4  0.1620
  76 L3M1  0.0380
  77  KL3  0.4957
  77  KL2  0.2883
  77  KM3  0.1090
  77  KM2  0.0560
  77 L3M5  0.7047
  77 L2M4  0.7938
  77 L1M3  0.3936
  77 L2N4  0.1629
  77 L3M1  0.0384
  78  KL3  0.4945
  78  KL2  0.2893
  78  KM3  0.1090
  78  KM2  0.0563
  78 L3M5  0.7025
  78 L2M4  0.7924
  78 L1M3  0.3883
  78 L2N4  0.1641
  78 L3M1  0.0389
  79  KL3  0.4932
  79  KL2  0.2898
  79  KM3  0.1090
  79  KM2  0.0567
  79 L3M5  0.6993
  79 L2M4  0.7889
  79 L1M3  0.3831
  79 L2N4  0.1647
  79 L3M1  0.0392
  80  KL3  0.4918
  80  KL2  0.2902
  80  KM3  0.1090
  80  KM2  0.0568
  80 L3M5  0.6960
  80 L2M4  0.7859
  80 L1M3  0.3779
  80 L2N4  0.1654
  80 L3M1  0.0397
  81  KL3  0.4905
  81  KL2  0.2905
  81  KM3  0.1090
  81  KM2  0.0571
  81 L3M5  0.6933
  81 L2M4  0.7830
  81 L1M3  0.3719
  81 L2N4  0.1665
  81 L3M1  0.0401
  82  KL3  0.4890
  82  KL2  0.2910
  82  KM3  0.1100
  82  KM2  0.0561
  82 L3M5  0.6909
  82 L2M4  0.7796
  82 L1M3  0.3660
  82 L2N4  0.1674
  82 L3M1  0.0406
  83  KL3  0.4877
  83  KL2  0.2914
  83  KM3  0.1100
  83  KM2  0.0562
  83 L3M5  0.6881
  83 L2M4  0.7772
  83 L1M3  0.3603
  83 L2N4  0.1688
  83 L3M1  0.0410
  84  KL3  0.4865
  84  KL2  0.2921
  84  KM3  0.1100
  84  KM2  0.0562
  84 L3M5  0.6855
  84 L2M4  0.7741
  84 L1M3  0.3545
  84 L2N4  0.1695
  84 L3M1  0.0415
  85  KL3  0.4845
  85  KL2  0.2923
  85  KM3  0.1100
  85  KM2  0.0563
  85 L3M5  0.6830
  85 L2M4  0.7712
  85 L1M3  0.3481
  85 L2N4  0.1706
  85 L3M1  0.0421
  86  KL3  0.4829
  86  KL2  0.2927
  86  KM3  0.1100
  86  KM2  0.0563
  86 L3M5  0.6801
  86 L2M4  0.7684
  86 L1M3  0.3413
  86 L2N4  0.1718
  86 L3M1  0.0426
  87  KL3  0.4814
  87  KL2  0.2931
  87  KM3  0.1100
  87  KM2  0.0564
  87 L3M5  0.6776
  87 L2M4  0.7659
  87 L1M3  0.3351
  87 L2N4  0.1728
  87 L3M1  0.0431
  88  KL3  0.4801
  88  KL2  0.2938
  88  KM3  0.1100
  88  KM2  0.0565
  88 L3M5  0.6751
  88 L2M4  0.7633
  88 L1M3  0.3287
  88 L2N4  0.1739
  88 L3M1  0.0437
  89  KL3  0.4787
  89  KL2  0.2944
  89  KM3  0.1100
  89  KM2  0.0565
  89 L3M5  0.6722
  89 L2M4  0.7602
  89 L1M3  0.3222
  89 L2N4  0.1750
  89 L3M1  0.0442
  90  KL3  0.4771
  90  KL2  0.2950
  90  KM3  0.1100
  90  KM2  0.0566
  90 L3M5  0.6698
  90 L2M4  0.7575
  90 L1M3  0.3154
  90 L2N4  0.1761
  90 L3M1  0.0448
  91  KL3  0.4760
  91  KL2  0.2957
  91  KM3  0.1110
  91  KM2  0.0559
  91 L3M5  0.6678
  91 L2M4  0.7557
  91 L1M3  0.3092
  91 L2N4  0.1773
  91 L3M1  0.0454
  92  KL3  0.4744
  92  KL2  0.2963
  92  KM3  0.1110
  92  KM2  0.0563
  92 L3M5  0.6658
  92 L2M4  0.7534
  92 L1M3  0.3027
  92 L2N4  0.1783
  92 L3M1  0.0460
  93  KL3  0.4730
  93  KL2  0.2970
  93  KM3  0.1110
  93  KM2  0.0563
  93 L3M5  0.6637
  93 L2M4  0.7512
  93 L1M3  0.2956
  93 L2N4  0.1794
  93 L3M1  0.0467
  94  KL3  0.4716
  94  KL2  0.2979
  94  KM3  0.1110
  94  KM2  0.0563
  94 L3M5  0.6620
  94 L2M4  0.7490
  94 L1M3  0.2889
  94 L2N4  0.1806
  94 L3M1  0.0473
  95  KL3  0.4699
  95  KL2  0.2986
  95  KM3  0.1110
  95  KM2  0.0563
  95 L3M5  0.6603
  95 L2M4  0.7474
  95 L1M3  0.2834
  95 L2N4  0.1815
  95 L3M1  0.0480
  96  KL3  0.4687
  96  KL2  0.2994
  96  KM3  0.1110
  96  KM2  0.0563
  96 L3M5  0.6580
  96 L2M4  0.7451
  96 L1M3  0.2749
  96 L2N4  0.1826
  96 L3M1  0.0486
  97  KL3  0.4671
  97  KL2  0.3000
  97  KM3  0.1110
  97  KM2  0.0564
  97 L3M5  0.6560
  97 L2M4  0.7431
  97 L1M3  0.2674
  97 L2N4  0.1836
  97 L3M1  0.0493
  98  KL3  0.4660
  98  KL2  0.3010
  98  KM3  0.1110
  98  KM2  0.0564
  98 L3M5  0.6544
  98 L2M4  0.7415
  98 L1M3  0.2600
  98 L2N4  0.1848
  98 L3M1  0.0500
  99  KL3  0.4644
  99  KL2  0.3019
  99  KM3  0.1110
  99  KM2  0.0564
  99 L3M5  0.6526
  99 L2M4  0.7396
  99 L1M3  0.2525
  99 L2N4  0.1858
  99 L3M1  0.0508
 100  KL3  0.4629
 100  KL2  0.3028
 100  KM3  0.1120
 100  KM2  0.0554
 100 L3M5  0.6509
 100 L2M4  0.7375
 100 L1M3  0.2447
 100 L2N4  0.1867
 100 L3M1  0.0515
