
#S 1 L1 x-ray emission rates
#N 20
#L Z  TOTAL  L1L2  L1L3  L1M1  L1M2  L1M3  L1M4  L1M5  L1N1  L1N2  L1N3  L1N4  L1N5  L1N67  L1O1  L1O2  L1O3  L1O45  L1P23
92  2.4444  8.3168e-005  0.0549  2.0332e-005  0.34977  0.30395  0.016159  0.024095  9.4091e-006  0.0945  0.09405  0.0027532  0.00441  0.00012048  2.7491e-006  0.022909  0.023114  0.0013009  0.0078464  
93  2.5845  8.021e-005  0.05831  2.2171e-005  0.35133  0.29716  0.016638  0.024763  1.0331e-005  0.095339  0.092901  0.0028594  0.0045889  0.00012885  3.0528e-006  0.023409  0.023138  0.0013775  0.0079436  
94  2.7312  7.7292e-005  0.061914  2.4202e-005  0.35332  0.29035  0.017099  0.025447  1.1314e-005  0.096184  0.091644  0.0029694  0.0047708  0.00013767  3.3795e-006  0.023872  0.023103  0.0014462  0.0076266  
95  2.8867  7.441e-005  0.065715  2.6362e-005  0.35508  0.28337  0.017563  0.026154  1.2402e-005  0.096962  0.090276  0.0030831  0.0049537  0.00014653  3.7413e-006  0.024353  0.023037  0.0015277  0.0076696  
96  3.0508  7.1588e-005  0.069752  2.8714e-005  0.35663  0.27599  0.018061  0.026845  1.357e-005  0.097745  0.088829  0.0031959  0.0051462  0.00015602  4.1301e-006  0.024846  0.022978  0.0016192  0.0080897  
97  3.2211  6.8796e-005  0.074104  3.1293e-005  0.35826  0.26854  0.018565  0.027568  1.484e-005  0.098723  0.08733  0.0033187  0.0053428  0.00016578  4.5636e-006  0.025302  0.022849  0.0017044  0.008109  
98  3.3997  6.6094e-005  0.078713  3.4062e-005  0.36033  0.2612  0.01909  0.028297  1.6207e-005  0.099421  0.085802  0.0034444  0.0055475  0.0001759  5.0299e-006  0.025738  0.02262  0.0017796  0.0077272  
99  3.5877  6.33e-005  0.083591  3.7099e-005  0.36207  0.25364  0.019595  0.029044  1.7727e-005  0.10006  0.084177  0.0035705  0.0057558  0.00018619  5.5467e-006  0.026173  0.02241  0.0018703  0.0077236  
100  3.7871  6.0495e-005  0.088723  4.0348e-005  0.36387  0.24584  0.020121  0.029786  1.9329e-005  0.10087  0.082385  0.0037021  0.0059703  0.00019699  6.0997e-006  0.02659  0.022154  0.0019593  0.0077104  
101  3.9971  5.7817e-005  0.094068  4.3857e-005  0.36576  0.23792  0.02064  0.030522  2.109e-005  0.10157  0.080558  0.0038353  0.006187  0.00020815  6.7299e-006  0.02702  0.021841  0.0020515  0.0076805  
