
#S 1 M1 emission rates
#N 20
#L Z  TOTAL  M1M2  M1M3  M1M4  M1M5  M1N1  M1N2  M1N3  M1N4  M1N5  M1N6  M1N7  M1O1  M1O2  M1O3  M1O4  M1O5  M1P2  M1P3
59  0.0023663  1.0119e-006  0.15228  7.3674e-009  0.24304  2.3478e-008  0.00040546  0.55877  7.8275e-007  0  0  0.041932  5.2591e-009  6.5104e-005  0  0  0  0.0035006  0  
60  0.0026144  1.0961e-006  0.14866  7.7137e-009  0.24093  2.5415e-008  0.00041905  0.56448  8.3682e-007  0  0  0.041837  5.7205e-009  6.7796e-005  0  0  0  0.003598  0  
61  0.0028625  1.1656e-006  0.14568  8e-009  0.23918  2.7016e-008  0.00043028  0.5692  8.8151e-007  0  0  0.041758  6.1019e-009  7.002e-005  0  0  0  0.0036786  0  
62  0.0031106  1.2241e-006  0.14317  8.2406e-009  0.23772  2.8362e-008  0.00043971  0.57316  9.1908e-007  0  0  0.041692  6.4225e-009  7.189e-005  0  0  0  0.0037463  0  
63  0.0033587  1.274e-006  0.14103  8.4457e-009  0.23647  2.9509e-008  0.00044776  0.57654  9.5109e-007  0  0  0.041636  6.6957e-009  7.3484e-005  0  0  0  0.003804  0  
64  0.0037559  1.2647e-006  0.13365  8.2802e-009  0.22604  2.9287e-008  0.00043664  0.55645  9.3984e-007  0.0021646  3.1949e-009  0.039937  6.6561e-009  7.1886e-005  0.03754  0  0  0.0037008  0  
65  0.004124  1.6792e-006  0.13466  9.9215e-009  0.22692  3.718e-008  0.00047001  0.56417  1.1098e-006  0.0023622  4.0009e-009  0.039363  8.0827e-009  7.4401e-005  0.028491  0  0  0.0034877  0  
66  0.0044921  2.0258e-006  0.1355  1.1294e-008  0.22766  4.378e-008  0.00049791  0.57063  1.2518e-006  0.0025274  4.6748e-009  0.038883  9.2754e-009  7.6504e-005  0.020925  0  0  0.0033095  0  
67  0.0048602  2.3198e-006  0.13621  1.2458e-008  0.22828  4.938e-008  0.00052158  0.5761  1.3724e-006  0.0026676  5.2466e-009  0.038475  1.0288e-008  7.8288e-005  0.014505  0  0  0.0031583  0  
68  0.0052283  2.5725e-006  0.13682  1.3459e-008  0.22882  5.4192e-008  0.00054192  0.58081  1.4759e-006  0.002788  5.7379e-009  0.038125  1.1157e-008  7.9821e-005  0.0089895  0  0  0.0030284  0  
69  0.0055964  2.7919e-006  0.13735  1.4328e-008  0.22928  5.837e-008  0.00055958  0.58489  1.5659e-006  0.0028926  6.1646e-009  0.037822  1.1912e-008  8.1153e-005  0.0041991  0  0  0.0029155  0  
70  0.0059645  2.9843e-006  0.13781  1.5089e-008  0.22969  6.2033e-008  0.00057506  0.58848  1.6447e-006  0.0029843  6.5386e-009  0.037555  1.2574e-008  8.232e-005  0  0  0  0.0028166  0  
71  0.0067027  4.3147e-006  0.13976  2.029e-008  0.22722  8.5935e-008  0.00061721  0.58648  2.0274e-006  0.0035583  1.0757e-008  0.039133  2.0812e-008  9.8751e-005  0  0  0  0.0031226  0  
72  0.0074409  5.3811e-006  0.14133  2.4459e-008  0.22524  1.0509e-007  0.000651  0.58488  2.3341e-006  0.0040183  1.4138e-008  0.040398  2.7416e-008  0.00011192  0  0  0  0.0033679  0  
73  0.0081791  6.255e-006  0.14261  2.7876e-008  0.22362  1.208e-007  0.00067868  0.58356  2.5855e-006  0.0043954  1.6909e-008  0.041435  3.2828e-008  0.00012272  0  0  0  0.0035689  0  
74  0.0089172  6.9842e-006  0.14368  3.0727e-008  0.22227  1.339e-007  0.00070179  0.58247  2.7953e-006  0.00471  1.9221e-008  0.0423  3.7343e-008  0.00013172  0  0  0  0.0037366  0  
75  0.0096554  7.602e-006  0.14458  3.3142e-008  0.22112  1.45e-007  0.00072136  0.58154  2.9729e-006  0.0049765  2.118e-008  0.043033  4.1169e-008  0.00013935  0  0  0  0.0038787  0  
