#F MShellConstants.dat
#U00 References:
#U01 M.H. Chen, B. Crasemann, H. Mark 
#U02      Relativistic M-shell radiationless transitions
#U03      Physical Review A volume 21 number 2 (1980) 449-453.
#U04 M.H. Chen, B. Crasemann, H. Mark 
#U05      Radiationless transitions to atomic M1,2,3 shells:
#U06      Results of relativistic theory
#U07      Physical Review A volume 27 number 6 (1983) 2989-2994.
#U08 Widths are given in eV
#U09

#S 1 M1 x-ray data
#N 7
#L Z  f12  f13  f14  f15  omegaM1  gammaM1
66  0  0  0  
67  0  0  0  
68  0  0  0  
69  0  0  0  
70  1.46  1.482  0.015  
71  1.5438  1.569  0.016  
72  1.6275  1.656  0.017  
73  1.7112  1.743  0.018  
74  1.795  1.83  0.019  
75  1.8935  1.9337  0.020333  
76  1.992  2.0373  0.021667  
77  2.0905  2.141  0.023  
78  2.189  2.2447  0.024333  
79  2.2875  2.3483  0.025667  
80  2.386  2.452  0.027  
81  2.48  2.5523  0.028333  
82  2.574  2.6527  0.029667  
83  2.668  2.753  0.031  
84  2.7602  2.853  0.0324  
85  2.8524  2.953  0.0338  
86  2.9446  3.053  0.0352  
87  3.0368  3.153  0.0366  
88  3.129  3.253  0.038  
89  3.2092  3.3425  0.03975  
90  3.2895  3.432  0.0415  
91  3.3698  3.5215  0.04325  
92  3.45  3.611  0.045  
93  3.5555  3.727  0.04625  
94  3.661  3.843  0.0475  
95  3.7665  3.959  0.04875  
96  3.872  4.075  0.05  
97  3.9873  4.202  0.05125  
98  4.1025  4.329  0.0525  
99  4.2178  4.456  0.05375  
100  4.333  4.583  0.055  
101  4.333  4.583  0.055  
102  4.333  4.583  0.055  
103  4.333  4.583  0.055  
104  4.333  4.583  0.055  
105  4.333  4.583  0.055  
106  4.333  4.583  0.055  
107  4.333  4.583  0.055  
108  4.333  4.583  0.055  
109  4.333  4.583  0.055  
